odor_sites_travelled,distance_m,water_collected_ul,rewarded_stops,total_stops,session_duration_min,total_patches_visited,trainer,session,stage,rig,mouse,simplified_stage,stage_letter
246.0,125.701592,990.0,198.0,198.0,54.7430666666672,21.0,Jason,2025-06-02,shaping_stageA_distanceA_stopA_probA,5B,781896,A,A
235.0,231.115586,775.0,155.0,168.0,57.33153333333321,31.0,Jason,2025-06-03,shaping_stageA_distanceB_stopB_probB,5B,781896,A,A
207.0,272.291406,650.0,130.0,148.0,62.51159999999994,26.0,Jason,2025-06-04,shaping_stageA_distanceC_stopC_probB,5B,781896,A,A
135.0,248.89771499999998,405.0,81.0,95.0,61.92933333333349,7.0,Jason,2025-06-05,shaping_stageA_distanceD_stopD_probB,5B,781896,A,A
197.0,354.36628900000005,670.0,134.0,147.0,62.825233066664076,23.0,Jason,2025-06-06,shaping_stageA_distanceD_stopD_probB,5B,781896,A,A
204.0,372.477578,655.0,131.0,146.0,60.1931999999991,24.0,Jason,2025-06-09,shaping_stageA_distanceD_stopD_probB,5B,781896,A,A
251.0,576.843164,630.0,126.0,143.0,59.20943359999607,26.0,Jason,2025-06-10,shaping_stageA_distanceD_stopE_probB,5B,781896,A,A
207.0,481.52027300000003,340.0,68.0,119.0,58.93970026666454,25.0,Jason,2025-06-11,shaping_stageB_distanceD_stopE_probB,5A,781896,B,B
305.0,644.04582,540.0,108.0,190.0,59.15143306666675,32.0,Jason,2025-06-12,shaping_stageB_distanceD_stopE_probB,5A,781896,B,B
123.0,494.69683599999996,25.0,5.0,7.0,59.06920000000391,7.0,Jason,2025-06-13,shaping_stageC_distanceD_stopE_probB,5A,781896,C,C
210.0,483.48425799999995,440.0,88.0,122.0,59.10276640000132,35.0,Jason,2025-06-16,shaping_stageC_distanceD_stopE_probB,5A,781896,C,C
242.0,555.91543,355.0,71.0,141.0,59.400866666661265,25.0,Jason,2025-06-17,shaping_stageC_distanceD_stopE_probB,5A,781896,C,C
217.0,528.995586,330.0,66.0,110.0,60.16246666666896,24.0,Jason,2025-06-18,shaping_stageC_distanceD_stopE_probB,5A,781896,C,C
243.0,593.526758,325.0,65.0,124.0,58.781199999999565,20.0,Jason,2025-06-19,shaping_stageC_distanceD_stopE_probB,5A,781896,C,C
310.0,543.788867,520.0,104.0,228.0,60.26646666667269,26.0,Jason,2025-06-20,shaping_stageC_distanceD_stopE_probB,5A,781896,C,C
289.0,548.837695,475.0,95.0,200.0,62.76340000000006,28.0,Jason,2025-06-23,shaping_stageC_distanceD_stopE_probB,5A,781896,C,C
293.0,614.190625,515.0,87.0,191.0,63.77519999999398,26.0,Jason,2025-06-24,shaping_stageC_distanceD_stopE_probB,5A,781896,C,C
296.0,701.303203,686.0,98.0,167.0,58.05043306666582,33.0,Jason,2025-06-25,shaping_stageC_distanceD_stopE_probB,5A,781896,C,C
277.0,666.713203,581.0,83.0,155.0,59.58379999999888,41.0,Jason,2025-06-26,data_collection_7,5A,781896,data_collection_7,
362.0,593.260039,931.0,133.0,280.0,59.3873663999994,45.0,Jason,2025-06-27,data_collection_7,5A,781896,data_collection_7,
350.0,639.745938,854.0,122.0,252.0,60.020366933328724,52.0,Jason,2025-06-30,data_collection_7,5A,781896,data_collection_7,
299.0,552.512188,742.0,106.0,211.0,60.59416640000418,45.0,Jason,2025-07-01,data_collection_7,5A,781896,data_collection_7,
